assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
508612,12776,Mantella aurantiaca,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MANTELLIDAE,Mantella,aurantiaca,,,,"Mocquard, 1900",Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
511335,1301,Anhydrophryne rattrayi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PYXICEPHALIDAE,Anhydrophryne,rattrayi,,,,"Hewitt, 1919",Vulnerable,B1ab(iii),3.1,Unknown,Global
516093,135803,Bolitoglossa bramei,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,bramei,,,,"Wake, Savage &amp; Hanken, 2007",Least Concern,,3.1,Stable,Global
516369,135889,Telmatobius sanborni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,TELMATOBIIDAE,Telmatobius,sanborni,,,,"Schmidt, 1954",Critically Endangered,A2ace+4ace,3.1,Decreasing,Global
516500,135968,Chimerella mariaelenae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Chimerella,mariaelenae,,,,"(Cisneros-Heredia &amp; McDiarmid, 2006)",Least Concern,,3.1,Unknown,Global
516817,136015,Pristimantis aquilonaris,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Pristimantis,aquilonaris,,,,"Lehr, Aguilar, Siu-Ting and Jordán, 2007",Least Concern,,3.1,Stable,Global
517178,136036,Ctenophryne barbatula,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Ctenophryne,barbatula,,,,"(Lehr &amp; Trueb, 2007)",Endangered,B1ab(iii),3.1,Unknown,Global
517485,136055,Anodonthyla moramora,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Anodonthyla,moramora,,,,"Glaw &amp; Vences, 2005",Endangered,B1ab(iii),3.1,Decreasing,Global
517629,136056,Zhangixalus yinggelingensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Zhangixalus,yinggelingensis,,,,"(Chou, Lau &amp; Chan, 2007)",Vulnerable,D2,3.1,Stable,Global
517753,136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,"Wake, Savage &amp; Hanken, 2007",Endangered,B1ab(iii),3.1,Decreasing,Global
517865,136129,Telmatobius punctatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,TELMATOBIIDAE,Telmatobius,punctatus,,,,"Vellard, 1955",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
518002,78526171,Oreobates lehri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Oreobates,lehri,,,,"(Padial, Chaparro &amp; De la Riva, 2007)",Endangered,B1ab(iii),3.1,Unknown,Global
779119,158472,Pristimantis leucorrhinus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Pristimantis,leucorrhinus,,,,"Boano, Mazzotti &amp; Sindaco, 2008",Data Deficient,,3.1,Unknown,Global
