key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-330137827,Influence of anthropogenic pressure on the genetic diversity and chromosomal instability of an endangered forest-specialist anuran,2022,,,Hydrobiologia,,849,11,2463-2475,"Getelina, M.A. and Schwantes, J.B. and Graichen, D.A.S. and Schuch, A.P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126144170&doi=10.1007%2fs10750-022-04840-w&partnerID=40&md5=c0d687c2b464dad6595f893ec31fa3fc,,,,"Deforestation leads to changes in the landscape, which can isolate and decrease the size of populations affecting their structure and genetic variability. Additionally, it can increase the frequency of chromosomal damage due to exposure to genotoxic agents present in the environment. Among vertebrates, amphibians are the most threatened taxonomic group, especially forest-specialist species. Our work aimed to assess the impact of deforestation on landscape, as well as in the genetic diversity and genomic instability of populations of the amphibian species Crossodactylus schmidti Gallardo, 1961, which is restricted to well-preserved stream environments in the Atlantic rainforest in southern Brazil. Sampling of oral mucosa cells was carried out in four different forest areas. We analyzed a total of 200 sequences of two mitochondrial (COI and 16S) and one nuclear gene (Tyrosinase), as well as 1000 oral mucosa cells per individual through cytogenetic analyses. Our results clearly indicate that all forest areas analyzed in this work are important for the genetic diversity and maintenance of these populations in the landscape, regardless of size. However, the largest area has the major role as disperser of genetic diversity, highlighting the importance of conservation units and large forest areas for the persistence of endangered forest-specialist amphibian species. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Anura,Deforestation | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Crossodactylus schmidti",,
rayyan-330137828,"The Arsenic–Antimony Creek at Sauerbrunn/Burgenland, Austria: A Toxic Habitat for Amphibians",2022,,,International Journal of Environmental Research and Public Health,,19,10,,"Adlassnig, W. and Schmidt, B. and Jirsa, F. and Gradwohl, A. and Ivesic, C. and Koller-Peroutka, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129976852&doi=10.3390%2fijerph19106010&partnerID=40&md5=3b16f6a6706cfe1412f9e375f47fc7b7,,,,"(1) Background: All Austrian amphibians are affected by the degradation of habitats. Mining contributes to habitat destruction by the formation of spoil heaps and mine drainage waters. In Stadtschlaining/Burgenland, antimony mining led to increased arsenic (As) and antimony (Sb) concentrations in soil and water. This study investigates a contaminated creek, still inhabited by amphibians. (2) Methods: Water and soil were analyzed along the creek and correlated with the occurrence of amphibians. (3) Results: As and Sb were increased, with up to 49,000 mg/kg As and 2446 mg/kg Sb in the soil. Up to 317 mg/kg As and 156 mg/kg Sb became bioavailable under gastric, and up to 298 mg/kg As and 30 mg/kg Sb under intestinal conditions, and were absorbed upon ingestion of soil. Larvae of Salamandra salamandra were found throughout the creek; survival rates were low. Rana temporaria occurs in the most contaminated sections but does not propagate here. Bombina variegata appears occasionally. Amphibians seem not to be able to detect and avoid metal or metalloid contamination. (4) Conclusion: Survival of larvae is dubious, but adult amphibians survive without apparent damage under severe metalloid contamination. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Mining,Amphibia | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Rana temporaria,Bombina variegata",,
rayyan-330137829,"Battling habitat loss: suitability of anthropogenic waterbodies for amphibians associated with naturally acidic, oligotrophic environments",2022,,,Pacific Conservation Biology,,28,2,174-183,"Simpkins, C.A. and Castley, J.G. and Shuker, J.D. and Morrison, C. and Hero, J.-M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119000199&doi=10.1071%2fPC20098&partnerID=40&md5=5c755ffa74f9248716208b94e98fe5f8,,,,"Habitat destruction is a key threatening process for amphibians. Modified or anthropogenic waterbodies can be used to compensate for habitat loss, with several amphibian species utilising created or modified waterbodies. We measured usage of anthropogenic/modified waterbodies by adult and tadpole frog species, including threatened species, in coastal wallum habitat in eastern Australia. Nine road trenches/ditches, 8 artificial 'lakes', 6 golf course waterbodies and 13 natural waterbodies were surveyed for frog adults and tadpoles during the summer/spring period 2011-2012. Additionally, we examined the relationship between frog assemblages and environmental factors (water chemistry, aquatic predators, vegetation types), focusing on Litoria olongburensis and Litoria fallax. Frog species richness differed between waterbody types, with two of three threatened frog species present in both natural and anthropogenic/modified waterbodies. The frog assemblage was influenced by pH, turbidity, salinity and percentage cover of certain vegetation types. Measured abundance of L. olongburensis adults and tadpoles were highest in natural waterbodies with high sedge density and low pH. The measured abundance of adult L. fallax was highest within artificial lakes. We conclude that differences in water chemistry and vegetation density can affect the amphibian assemblage within these environments. Therefore, effective conservation of all frog species would be enhanced by conserving a variety of waterbody types. However, natural waterbodies are more likely to be used by threatened species and the conservation of these waterbodies provides the best conservation outcomes. Where habitat offsets may be required, environmental managers should critically assess the quality of constructed habitat for specialist frog species including those associated with acidic, oligotrophic environments. © 2022 Journal Compilation","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Anura,Modified Waterbodies | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Litoria fallax,Litoria olongburensis",,
rayyan-330137830,"A multi-scale, multi-species approach highlights the importance of urban greenspace and pond design for amphibian communities",2022,,,Urban Ecosystems,,25,2,393-409,"Hamer, A.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114426174&doi=10.1007%2fs11252-021-01162-y&partnerID=40&md5=a0d0a611ed6ad880f947ad5dfca7c2b7,,,,"Urbanisation threatens species through habitat loss, isolation and fragmentation. Greenspace in urban landscapes often provides connectivity and habitat for wetland-dependent species. Accessible greenspace measures the combined effects of movement barriers (e.g., roads) and the total amount of greenspace on populations. I determined whether accessible greenspace was a better predictor of amphibian occupancy at ponds than the total amount of greenspace, and at what spatial scale. I also assessed the relative importance of habitat variables at the local pond-scale. Frog surveys were conducted at 65 ponds distributed along an urban–rural gradient over two breeding seasons in the greater Melbourne region, Australia. Accessible greenspace was mapped around ponds at varying spatial scales (250 m – 2000 m) using potential barriers to amphibian movement. The best-ranked multi-species occupancy model included the proportion of total greenspace within a 1000-m radius of a pond and four local-scale covariates (presence of mosquitofish, pond permanence, vertical pond walls and water conductivity). There was no support for models containing accessible greenspace. There was a positive relationship between the probability of community and species-level occupancy and total greenspace within 1000 m of a pond. There was a negative relationship between mean community occupancy and the presence of a vertical pond wall at a site. There was no apparent effect of barriers on occupancy, indicating that urban areas may be more permeable for movement by some species than predicted. Individual species responses demonstrated that management actions are required at fine and broad spatial scales to benefit amphibian communities in urban landscapes. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Anura,Urbanisation | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Multiple species",,
rayyan-330137831,Random placement models explain species richness and dissimilarity of frog assemblages within Atlantic Forest fragments,2022,,,Journal of Animal Ecology,,91,3,618-629,"Almeida-Gomes, M. and Gotelli, N.J. and Rocha, C.F.D. and Vieira, M.V. and Prevedello, J.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122748882&doi=10.1111%2f1365-2656.13660&partnerID=40&md5=61b87069d37bc7f4fb4d2d89d3eccdab,,,,"Understanding the effects of random versus niche-based processes on biodiversity patterns is a central theme in ecology, and an important tool for predicting effects of habitat loss and fragmentation on biodiversity. We investigated the predictive power of random processes to explain species richness and species dissimilarity of amphibian assemblages in a fragmented tropical landscape of the Atlantic Forest of South America. We analyzed a large database of amphibian abundance and occupancy, sampled in 21 forest fragments ranging in size from 1.9 to 619 ha. We compared observed species richness and species dissimilarity with the outcomes of two null (random placement) models: 1- the traditional Coleman's area-based model and 2- an abundance-based model (based on the number of individuals observed in each fragment). We applied these models for all species combined, and separately for forest-dependent and habitat-generalist species. The abundance-based model fitted the observed species richness data better than the area-based model for all species, forest-dependent species, and generalist species. The area-based and the abundance-based models were also able to significantly explain species dissimilarity for all species and for generalists, but not for forest dependent species. The traditional area-based model assigned too many individuals to large fragments, thus failing to accurately explain species richness within patches across the landscape. Although niche-based processes may be important to structuring the regional pool of species in fragmented landscapes, our results suggest that part of the variation in species richness and species dissimilarity can be successfully explained by random placement models, especially for generalist species. Evaluating which factors cause variation in the number of individuals among patches should be a focus in future studies aiming to understand biodiversity patterns in fragmented landscapes. © 2022 British Ecological Society","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Anura,Fragmentation | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Multiple species",,
rayyan-330137832,Functional Connectivity of an Endemic Tree Frog in a Highly Threatened Tropical Dry Forest in Mexico,2022,,,Ecoscience,,29,1,69-85,"Covarrubias, S. and Gutiérrez-Rodríguez, C. and Rojas-Soto, O. and Hernández-Guzmán, R. and González, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124739994&doi=10.1080%2f11956860.2021.1921935&partnerID=40&md5=282d149c1ac47567b271e7d28d94a893,,,,"The increase in anthropogenic activities that lead to fragmentation and habitat loss, could result in a reduction of connectivity among habitat patches of terrestrial species. We used ecological niche models, circuit and graph theories to evaluate functional connectivity among home-range patches and suitable habitat patches of the Mexican Leaf Frog (Agalychnis dacnicolor), in a heterogeneous landscape of tropical dry forest (TDF) in central-western Mexico. We found high connectivity among home-range patches within the Chamela-Cuixmala Biosphere Reserve (CCBR) and among those surrounding the CCBR. Similarly, suitable habitat patches along the Pacific slope (except those in the South) were well-connected. Conversely, we detected weak connectivity in the southern and eastern parts of the study area, which is in accordance with the poor habitat quality and fragmentation that characterize that zone. Suitable habitat patches with the largest areas of TDF were the most important in maintaining functional connectivity, but only one patch was within a natural protected area. Our results highlight the importance of conserving large and continuous patches of habitat in a very threatened landscape to maintain connectivity in A. dacnicolor and probably in other anurans. © 2021 Université Laval.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Anura,Fragmentation | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Agalychnis dacnicolor",,
rayyan-330137833,Long-term occupancy dynamics of the threatened Cheat Mountain salamander and its competitors in relation to linear habitat fragmentation,2022,,,Forest Ecology and Management,,505,,,"Rucker, L.E. and Brown, D.J. and Watson, M.B. and Pauley, T.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120302246&doi=10.1016%2fj.foreco.2021.119847&partnerID=40&md5=4d900b6cdb307d40da06e08ffe03a6c9,,,,"Amphibians are declining globally and while many factors are contributing to this decline, habitat loss and degradation caused by climate and land use changes are among the most critical. Habitat degradation and increased interspecific competition are both concerns for long-term viability of the federally-threatened Cheat Mountain salamander (Plethodon nettingi) which is endemic to high elevations in West Virginia. In this study, we quantified the impacts of linear habitat fragmentation (i.e., a linear forest clearing for creation of a ski slope) on local colonization and extinction probabilities in adjacent forested habitat for the Cheat Mountain salamander and two co-occurring competitor species, eastern red-backed salamander (Plethodon cinereus) and Wehrle's salamander (Plethodon wehrlei). We also quantified long-term changes in total occupancy of the species within the high elevation study area. We surveyed the salamander community annually from 1988 to 2021 using diurnal natural cover object searches at 43 plots, with 1988 representing three years following linear habitat fragmentation. For each species, we used dynamic occupancy models to identify and model influential covariates for initial occupancy, colonization, extinction, and detection probability. We found that distance to fragmentation was positively correlated with colonization probability for Cheat Mountain salamanders, indicating negative edge effects of the linear forest clearing. Distance to fragmentation was negatively correlated with colonization probability for eastern red-backed salamanders, potentially indicating this species benefited from increased solar radiation or reduced competition from Cheat Mountain salamanders. Predicted occupancy of eastern red-backed salamanders and Wehrle's salamanders increased over the 34 year monitoring period, indicating potential for increased competitive interactions. Our study suggests that extensive linear habitat fragmentation could result in degraded habitat for Cheat Mountain salamanders in the adjacent forest, and that potential for interactions with competitor species is increasing in high elevation forest stands. © 2021 Elsevier B.V.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Caudata,Fragmentation | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Plethodon wehrlei,Plethodon cinereus,Plethodon nettingi",,
rayyan-330137834,Landscape genetics reveals contrasting patterns of connectivity in two newt species (Lissotriton montandoni and L. vulgaris),2022,,,Molecular Ecology,,,,,"Antunes, B. and Figueiredo-Vázquez, C. and Dudek, K. and Liana, M. and Pabijan, M. and Zieliński, P. and Babik, W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131638691&doi=10.1111%2fmec.16543&partnerID=40&md5=fbf23c83995bfe32eed6d16dc792a411,,,,"Ecologically distinct species may respond to landscape changes in different ways. In addition to basic ecological data, the extent of the geographic range has been successfully used as an indicator of species sensitivity to anthropogenic landscapes, with widespread species usually found to be less sensitive compared to range-restricted species. In this study, we investigate connectivity patterns of two closely related but ecologically distinct newt species – the range-restricted, Lissotriton montandoni and the widespread, L. vulgaris – using genomic data, a highly replicated setting (six geographic regions per species), and tools from landscape genetics. Our results show the importance of forest for connectivity in both species, but at the same time suggest differential use of forested habitat, with L. montandoni and L. vulgaris showing the highest connectivity at forest-core and forest-edges, respectively. Anthropogenic landscapes (i.e., higher crop- or urban-cover) increased resistance in both species, but the effect was one to three orders of magnitude stronger in L. montandoni than in L. vulgaris. This result is consistent with a view of L. vulgaris as an ecological generalist. Even so, currently, the negative impact of anthropogenic landscapes is mainly seen in connectivity among L. vulgaris populations, which show significantly stronger isolation and lower effective sizes relative to L. montandoni. Overall, this study emphasizes how habitat destruction is compromising genetic connectivity not only in endemic, range-restricted species of conservation concern but also in widespread generalist species, despite their comparatively lower sensitivity to anthropogenic landscape changes. © 2022 John Wiley & Sons Ltd.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Caudata,Fragmentation | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Lissotriton vulgaris,Lissotriton montandoni",,
rayyan-330137835,Multiscale drivers of amphibian community occupancy in urban ponds,2022,,,Urban Ecosystems,,,,,"Sauer, E.L. and Cruz, J. and Crone, E. and Lewis, C. and Plumier, E. and Cwynar, B. and Drake, D. and Herrick, B.M. and Preston, D.L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129061307&doi=10.1007%2fs11252-022-01239-2&partnerID=40&md5=3a4c6c00c02b613c3aa438b76f81678f,,,,"Urbanization has driven the loss of natural aquatic habitats while concurrently increasing the abundance of artificial urban ponds. Urban ponds are not typically designed for wildlife but are often colonized by species of conservation concern, including amphibians. Urban ponds may have conservation value, but it is unclear whether they are equally suitable habitat for all amphibians within a local assemblage and which factors most affect habitat quality. Here, we surveyed 96 ponds in the greater Madison, Wisconsin area from four land-use types: 1) golf course ponds, 2) urban park ponds, 3) urban stormwater ponds, and 4) ponds within mixed-use exurban regions. We assessed which local pond characteristics and landscape factors influenced occupancy of amphibian communities using a Bayesian multispecies occupancy model. We detected nine species, finding at least one species at most ponds (91.8%). Ponds within golf courses and urban parks had higher naïve species richness than other urban ponds. We grouped species based on their habitat requirements in their adult stage as (1) upland (for terrestrial adults) and (2) fully aquatic. Occupancy of upland species increased with greater forest cover and pond area, while occupancy of fully aquatic species increased with greater wetland cover, water fluorescence, and lower water turbidity. Our results suggest that species habitat preferences influence the urban ponds they occupy. Urban ponds provide important amphibian habitat for varied species assemblages. Strategic management of urban ponds could therefore provide key ecosystem services, while also facilitating the conservation of amphibians that are increasingly threatened by habitat loss. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Amphibia,Urbanisation | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Multiple species",,
rayyan-330137836,Non-destructive methods to assess health of wild tropical frogs (túngara frogs: Engystomops pustulosus) in Trinidad reveal negative impacts of agricultural land,2022,,,Environmental Science and Pollution Research,,,,,"Orton, F. and Mangan, S. and Newton, L. and Marianes, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128736712&doi=10.1007%2fs11356-022-20105-4&partnerID=40&md5=9019d7a5e20abbd26b5221732fecd635,,,,"Amphibians are threatened globally with at least 43% of species declining and the most important stressor being habitat loss or degradation. Amphibians inhabiting highly biodiverse tropical regions are disproportionately threatened; however, the effects of landscape alterations on amphibian health are virtually unknown. In this study, we utilised non-destructive techniques to compare size (weight, snout-vent length [SVL]), body condition, male secondary sexual features (forelimb width, nuptial pad length) and breeding success (egg number, fertility [percentage fertilised eggs], hatching success) in túngara frogs (Engystomops pustulosus) collected from reference (n = 5), suburban (n = 6) and agricultural (n = 4) sites in Trinidad; characterised by presence/absence of crops/houses. All measured endpoints were negatively impacted in frogs collected from agricultural sites. The largest effect was observed for hatching success (2.77-fold lower) and egg number (2.5-fold lower). Less pronounced effects were observed on male frogs (weight: 1.77-fold lower; SVL: 1.18-fold lower; forelimb width: 1.33-fold lower; nuptial pad length: 1.15-fold lower). Our findings demonstrate negative impacts of agricultural sites on túngara frog health, with the number of viable offspring reduced by almost one third. The methods outlined here are technically simple and low-cost and thereby have potential for application to other species in order to investigate the potential impacts of habitat degradation on amphibian health. Furthermore, as these methods are non-destructive, they could be used to investigate the potential contribution of frog size and/or reproductive capability as a causative factor contributing to population declines in threatened species, which is particularly pressing in tropical regions. © 2022, The Author(s).","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Anura,Agriculture | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Engystomops pustulosus",,
rayyan-330137837,Influence of land use on the diversity of pond-breeding anurans in South Brazilian grasslands,2022,,,Biodiversity and Conservation,,31,1,21-37,"da Silva Alves Saccol, S. and Luiz Cavalheiro Dias Ucha, J. and Madalozzo, B. and Zanini Cechin, S. and Gomes dos Santos, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118610105&doi=10.1007%2fs10531-021-02317-1&partnerID=40&md5=503da39cd52308ec21384bb048941efa,,,,"The degradation of natural ecosystems due to land use changes has been increasing, altering ecosystem composition, structure and processes, which negatively affects biodiversity. Herein, we explored how the diversity patterns of anurans respond to the scenario of extensive replacement of grasslands with agriculture in southernmost Brazil. We determined possible changes in the species richness, taxonomic composition, and structure of pond-breeding anuran communities in the grassland ecosystems of the South Brazilian Grasslands (SBG). Using the survey at breeding sites method, we sampled a total of 238 ponds, 153 from extensive livestock grazing on grasslands and 85 from agricultural areas. The higher species richness was found in the livestock areas on grasslands. There was a significant nestedness pattern associated with agricultural areas, indicating a non-random process of community simplification by species loss. Seven anuran species were considered land use indicators, of which five were considered indicators of grasslands with livestock, and two as indicators of agricultural areas. Generalist species were persistent and dominant in agricultural areas, while habitat specialists disappeared from these areas. Land use was a significant factor explaining the community structure segregation between land uses regardless of the natural variation reported at the local and regional levels. We highlight the importance of grasslands for the conservation of pond-breeding anurans in non-forest landscapes of the subtropical region, and we discuss the view that extensive livestock production needs strategic incentives to help the conservation of SBG biodiversity, such as multi-institutional measures. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.","Export Date: 30 June 2022 | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Anura,Agriculture | RAYYAN-INCLUSION: {""z5297814""=>""Included""} | RAYYAN-LABELS: Multiple species",,
